comment_id	comment_text	Label	Rationale	model_prediction
239612	This bitch is nuts. Who would read a book by a woman.	Toxic	['This bitch is nuts. Who would read a book by a woman', 'bitch']	Toxic
240615	Well shit, they drafted a guide.  We should all be good now, whew aht a relief...	Toxic	['shit']	Toxic
240941	I honestly cannot decide if these guys are complete morons or the most patriotic hero's this country has seen in a long time.	Toxic	['morons']	Non_Toxic
241026	Dear world: Just a reminder that none of these folks actually live in Oregon.  Please remember that when you decide to paint our state as a bunch of wackos!  Sincerely, Oregon	Toxic	['Dear world', 'Dear']	Non_Toxic
244362	It would take a lot of practice and muscles control to vote with your vagina.	Toxic	['vagina', 'It would take a lot of practice and muscles control to vote with your vagina', 'your vagina']	Toxic
245823	Anyone who allows Obama to nominate him/her is throwing away a chance to ever be nominated for the position in the future.  Anyone that stupid doesn't deserve the job.	Toxic	['stupid']	Toxic
246768	Two Wild & Crazy Guys!	Toxic	['Two Wild & Crazy Guys', 'Crazy', 'Wild']	Non_Toxic
247545	Yeah, too bad ... Oregon Live has 100 times the comments, including the ridiculous and offensive to the sublime. This is a classic Eugene over-sensitive reaction. The software is crap (is that civil, coming from a professional software engineer?). -- Paul	Toxic	['is crap', 'The software is crap']	Toxic
247546	Fuck this guy flag his post	Toxic	['Fuck']	Toxic
248259	Yahoo!!!  Finally someone calling this old fool to account.  I have had the distinct displeasure of having this man as my senator for more years than I care to count, and I hope Matt succeeds.  Courtney is totally out of touch with those in his district, and continues to pursue his braindead liberal policies as he is reelected time and again by the same braindead constituents.  He has been in the senate far too long and is long overdue to move on.  Send me a petition, Matt!  I'll sign it, gladly.	Toxic	['fool', 'old fool']	Toxic
248294	"So, Ms. Ricci, you weren't ""embarrassed"" by W's two ridiculous and costly wars, Katrina, his melting down of the economy? Okay, we welcome you to the saner side of politics, better late..."	Toxic	['ridiculous']	Toxic
249122	You support Trump...an avowed racist. Why?	Toxic	['racist', 'You support Trump...an avowed racist. Why']	Toxic
249636	Aside of a few morons I don't see many sane people using Uber.  A nice marketing gimmick but that's about it.	Toxic	['morons', 'a few morons']	Toxic
249876	You're kind of a dick, aren't you?	Toxic	['dick', 'kind of a dick']	Toxic
250539	You are ignorant. Pure and simple.	Toxic	['ignorant']	Toxic
250811	You sir, are an idiot.	Toxic	['idiot', 'are an idiot']	Toxic
251017	Don't be ridiculous.  This is about Brown.  But the jury could have found that Phil Hutchinson intended to inflict harm on Brown, and barely punished him for that -- $2200.  (Brown was asking for a total of $60k).  All of which is to say, again, that Brown -- who raped women, who abused women -- needs to be called out in spades, which has happened.	Toxic	['ridiculous', 'who raped women, who abused women', 'Phil Hutchinson intended to inflict harm on Brown', 'Brown -- who raped women, who abused women']	Toxic
251137	"So Fucking true !! ""Portlandia"" killed my sweet find of a small big town!! I moved here in 1990, from Smog Town USA (Los Angeles)!! And for over twenty years I thought I'd died and gone to Heaven!! And that nothing could make me want to leave Portland!! But the influx of RICH ASSHOLES IS MAKING ME NAUSEOUS, even more so than Bullseye Glass!!"	Toxic	['Fucking', 'ASSHOLES']	Toxic
252048	What a waste of time... this project hardly deserves this kind of coverage. 22 pictures and a lengthy article about --- wait for it ---- a remodeled golf green. Mr. Bellamy, you sir have way too much time on your hands. PATHETIC	Toxic	['PATHETIC']	Toxic
252193	And you read it all, making you exponentially MORE pathetic.	Toxic	['pathetic']	Toxic
252532	liberal dementia, a social disease that knows no shame, often claims Reagan broke the unions...because he enforced federal law on 1 union in criminal violation of federal law. It is impossible to have an intelligent intellectually honest discussion with these morons as they are as shameless liars as it gets.	Toxic	['morons', 'shame', 'shameless liars']	Toxic
252537	I have been saying this since that stupid fucking show came out. Fuck you Portlandia.	Toxic	['Fuck you', 'fucking', 'stupid', 'Fuck']	Toxic
252767	looking at it...trying to understand how this profound idiot is dominating this election...bottom line...it's because he pisses off the PC left, close enough.	Toxic	['idiot']	Toxic
252877	Yes what a jerk  I imagine that there is a long line of lawyers hoping to cash in on this piece of trash Lawyers will do anything for a buck	Toxic	['jerk', 'piece of trash']	Toxic
253192	"The Donald's boasts claiming himself capable of being America's only choice for our Commander in Chief and seemingly convincing many of my fellow citizens of that claim, reminds me of the phrase coined  by a critic of another  business man who took great satisfaction in duping his clients , ""There's a sucker born every minute."""	Toxic	['duping', 'sucker']	Toxic
253220	Die yuppie scum.	Toxic	['scum']	Toxic
253280	What happened to the Willy Week? This revue is terrible.  Also, associating the British empire with evilness is fucking stupid of you. The British freed their slaves first and the Magna Carta was groundbreaking.  Your revue smells like a lingering wet fart.	Toxic	['fucking stupid']	Toxic
253551	Sounds like some of you are scared of pussy and its obvious who that is!😁	Toxic	['pussy and its obvious', 'pussy']	Toxic
253560	It's obvious  that the man hates pussy, lol, I guess everyone has the right to not like something, but when you go into someone else's Place, and grab there pussy they love so much and then grab there pussy right in front of them!!, and then beat it up real bad, he must be a real bad man!!!!!!	Toxic	['pussy', 'hates pussy']	Toxic
253631	What a shameful, stupid anti-semitic comment.	Toxic	['shameful', 'anti-semitic', 'stupid', 'semitic']	Toxic
253735	I'm going to smoke pot just to make this fair. Ten years ago we had just as many stoners as we do today. DUH. For decades the police have had to be trained for impairment, which included pot. DUH. We have spent hundreds of billions of dollars on prohibition that empowered the black market, and caused crime to increase. yet a simpleton like you fails to grasp youre profound stupidity has lost the war on drugs, people no longer buy into your refer madness lies/propaganda, and it totally sucks to be you. On behalf of the stoners of Oregon, thank you for your ability to continue to humiliate yourself in public for our entertainment.	Toxic	['pairment, which included pot. DUH. We have spent hundreds of billions of dollars on prohibition that empowered the black market, and caused crime to increase. yet a simpleton like you fails to grasp youre profound stupidity has lost the war on drugs, people no longer buy into your refer madness lies/propag', 'hank you for your ability to continue to humiliate yourself in public for our entertainment', 'and it totally sucks to be you']	Toxic
