post_id	label	Text	post_tokens	maj_rationales	rationale_words	model_prediction
1179055004553900032_twitter	normal	i dont think im getting my baby them white 9 he has two white j and nikes not even touched	[]	['i', 'dont', 'think', 'im', 'getting', 'my', 'baby', 'them', 'white', '9', 'he', 'has', 'two', 'white', 'j', 'and', 'nikes', 'not', 'even', 'touched']		normal
13851720_gab	hatespeech	laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]	['disgusting', 'kike', 'language', 'exterminate', 'the', 'goyim']		hatespeech
1178818409812746240_twitter	normal	<user> what did the old lady do was she a nazi or white supremacist	[]	['<user>', 'what', 'did', 'the', 'old', 'lady', 'do', 'was', 'she', 'a', 'nazi', 'or', 'white', 'supremacist']		hatespeech
19346774_gab	normal	as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on	[]	['as', 'much', 'as', 'i', 'appreciate', 'a', 'format', 'of', 'open', 'discussion', 'i', 'really', 'just', 'want', 'a', 'facebook', 'that', 'i', 'can', 'say', 'beaner', 'on']		hatespeech
1165819983701643266_twitter	offensive	sex be so good a bitch be slow stroking and crying	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]	['bitch']		hatespeech
1178376939117121537_twitter	normal	<user> <user> <user> with a room full of white folks	[]	['<user>', '<user>', '<user>', 'with', 'a', 'room', 'full', 'of', 'white', 'folks']		normal
1162817415685857280_twitter	normal	i do not blame orlando pie rats for loosing like this they are drunk from that black label 😂 😂 😂 mtn 8 ss diski wafa wafa	[]	['i', 'do', 'not', 'blame', 'orlando', 'pie', 'rats', 'for', 'loosing', 'like', 'this', 'they', 'are', 'drunk', 'from', 'that', 'black', 'label', '😂', '😂', '😂', 'mtn', '8', 'ss', 'diski', 'wafa', 'wafa']		offensive
16637220_gab	hatespeech	they are going to figure out a way to kike bitcoin	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	['kike']		hatespeech
1178082052513468417_twitter	normal	<user> <user> a camel jockey midde east watering station	[]	['<user>', '<user>', 'a', 'camel', 'jockey', 'midde', 'east', 'watering', 'station']		offensive
1116946053478125571_twitter	offensive	then hoes stole my choreo and still managed to make it look bad and lose with it lmfao	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['hoes']		offensive
18721090_gab	hatespeech	the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['raped', 'by', 'paki', 'muslims']		hatespeech
1178816603619758080_twitter	normal	i raped a sheep because it sneezed at a pig	[]	['i', 'raped', 'a', 'sheep', 'because', 'it', 'sneezed', 'at', 'a', 'pig']		hatespeech
1179096960537632768_twitter	normal	listening to <number> right now and man these callers are morons in hillbilly voice what if we switched aj hinch with bill o brien would the texans do well good lord	[]	['listening', 'to', '<number>', 'right', 'now', 'and', 'man', 'these', 'callers', 'are', 'morons', 'in', 'hillbilly', 'voice', 'what', 'if', 'we', 'switched', 'aj', 'hinch', 'with', 'bill', 'o', 'brien', 'would', 'the', 'texans', 'do', 'well', 'good', 'lord']		normal
1178501413346906113_twitter	offensive	also in this same vibe any wigger who calls white missionaries who save the lives of non white children in africa india ect a race traitor is an actual h0m0	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	['wigger', 'h0m0']		hatespeech
22358188_gab	hatespeech	do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['muzzie']		hatespeech
1125244030948921344_twitter	normal	cheating is not the wave grow up you dumbass nigga	[]	['cheating', 'is', 'not', 'the', 'wave', 'grow', 'up', 'you', 'dumbass', 'nigga']		hatespeech
1178765634265636864_twitter	normal	do u have to be retarded to be a lino	[]	['do', 'u', 'have', 'to', 'be', 'retarded', 'to', 'be', 'a', 'lino']		hatespeech
1179043438131417088_twitter	normal	<user> <user> why will muslim take refugee in india when bangladesh and pakistan r islamic states isnt india supposed to be unsafe for muslims they should leave for their country asap for their safety	[]	['<user>', '<user>', 'why', 'will', 'muslim', 'take', 'refugee', 'in', 'india', 'when', 'bangladesh', 'and', 'pakistan', 'r', 'islamic', 'states', 'isnt', 'india', 'supposed', 'to', 'be', 'unsafe', 'for', 'muslims', 'they', 'should', 'leave', 'for', 'their', 'country', 'asap', 'for', 'their', 'safety']		hatespeech
1179080956004769795_twitter	normal	<user> <user> <user> <user> <user> <user> yeah just the backwoods redneck portion of society in oklahoma that does not even know other sports exist	[]	['<user>', '<user>', '<user>', '<user>', '<user>', '<user>', 'yeah', 'just', 'the', 'backwoods', 'redneck', 'portion', 'of', 'society', 'in', 'oklahoma', 'that', 'does', 'not', 'even', 'know', 'other', 'sports', 'exist']		normal
19227442_gab	offensive	i d rather get fisted by a nigger tbh	[0, 0, 0, 0, 0, 0, 0, 1, 0]	['nigger']		hatespeech
13162665_gab	offensive	i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say <user> boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	['niglets', 'blacks', 'down', 'on', 'their', 'knees']		hatespeech
24227903_gab	offensive	what the hell is it with shitty gab trolls and calling people monkeys maybe that kike freud was right	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	['kike']		hatespeech
1178618820229025793_twitter	normal	<user> <user> <user> yes men commit male violence i actually wouldnt envy a lesbian being confonted with a penis for a number of reasons the fear of being raped or being beaten for turning down the trans woman being just one	[]	['<user>', '<user>', '<user>', 'yes', 'men', 'commit', 'male', 'violence', 'i', 'actually', 'wouldnt', 'envy', 'a', 'lesbian', 'being', 'confonted', 'with', 'a', 'penis', 'for', 'a', 'number', 'of', 'reasons', 'the', 'fear', 'of', 'being', 'raped', 'or', 'being', 'beaten', 'for', 'turning', 'down', 'the', 'trans', 'woman', 'being', 'just', 'one']		hatespeech
12290514_gab	offensive	france problems are not going to fix themselves and this attack was just the tip of the iceberg uncontrolled immigration has been an ongoing issue in france for over a decade the only longstanding solution would be to deport every last moslem back to their home countries mega	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	['deport', 'every', 'last', 'moslem']		hatespeech
22513839_gab	hatespeech	dad should have told the muzrat whore to fuck off and went in anyway	[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]	['muzrat', 'whore', 'fuck', 'off']		hatespeech
4701852_gab	hatespeech	fanbloodytastic by time these leeches are held to account especially the muzzie scum taking <number> wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['muzzie', 'scum']		hatespeech
15239458_gab	hatespeech	whitey prevails for a change miss south africa beats out a nig two spics and a gook to win miss u	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]	['nig', 'spics', 'gook']		hatespeech
1178904771538890752_twitter	normal	<user> <user> welcome to modern britain the country where freedom of speech being white heterosexual male female non muslim is now classed as being racist fascist homophobic islamophobic made up word the country is falling	[]	['<user>', '<user>', 'welcome', 'to', 'modern', 'britain', 'the', 'country', 'where', 'freedom', 'of', 'speech', 'being', 'white', 'heterosexual', 'male', 'female', 'non', 'muslim', 'is', 'now', 'classed', 'as', 'being', 'racist', 'fascist', 'homophobic', 'islamophobic', 'made', 'up', 'word', 'the', 'country', 'is', 'falling']		hatespeech
26046364_gab	hatespeech	meet the british nigger bitch princess criminal trash family 🤣	[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	['nigger', 'bitch']		hatespeech
24096893_gab	hatespeech	lets hope so gas the lot including the nigger	[0, 0, 0, 1, 1, 1, 0, 0, 1]	['gas', 'the', 'lot', 'nigger']		hatespeech
1178949635647229952_twitter	normal	<user> <user> <user> lol no one is supporting bhikharistan except pro muslim countries like turkey malaysia no one gives a fuck about porkistan	[]	['<user>', '<user>', '<user>', 'lol', 'no', 'one', 'is', 'supporting', 'bhikharistan', 'except', 'pro', 'muslim', 'countries', 'like', 'turkey', 'malaysia', 'no', 'one', 'gives', 'a', 'fuck', 'about', 'porkistan']		hatespeech
1105655062599208960_twitter	offensive	suck out you faggot	[0, 0, 0, 1]	['faggot']		hatespeech
1178322843022450688_twitter	normal	<user> bring out the uneducated hillbillies and white supremacists to our sign meeting and donate to our right wing cause duh i work oil duh i like truck duh me hate muslim duh i can not read	[]	['<user>', 'bring', 'out', 'the', 'uneducated', 'hillbillies', 'and', 'white', 'supremacists', 'to', 'our', 'sign', 'meeting', 'and', 'donate', 'to', 'our', 'right', 'wing', 'cause', 'duh', 'i', 'work', 'oil', 'duh', 'i', 'like', 'truck', 'duh', 'me', 'hate', 'muslim', 'duh', 'i', 'can', 'not', 'read']		hatespeech
21969771_gab	hatespeech	he a jew when it convenient for him and a fellow white person when thats more convenient just like literally every other kike	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	['jew', 'kike']		hatespeech
1160816648783159296_twitter	normal	color blue and white porcelain	[]	['color', 'blue', 'and', 'white', 'porcelain']		normal
1179094087212978177_twitter	normal	<user> <user> <user> only a person with considerable privilege could reasonably write in a candidate out of pettiness when the alternative is trump trust and believe that my queer ass does not have that luxury women poc immigrants etc do not have that luxury grow up	[]	['<user>', '<user>', '<user>', 'only', 'a', 'person', 'with', 'considerable', 'privilege', 'could', 'reasonably', 'write', 'in', 'a', 'candidate', 'out', 'of', 'pettiness', 'when', 'the', 'alternative', 'is', 'trump', 'trust', 'and', 'believe', 'that', 'my', 'queer', 'ass', 'does', 'not', 'have', 'that', 'luxury', 'women', 'poc', 'immigrants', 'etc', 'do', 'not', 'have', 'that', 'luxury', 'grow', 'up']		hatespeech
1179086920573341696_twitter	normal	amber guyer ass better get the maximum sentence but ik her white ass bout to skate i can feel it in my spirit 😒	[]	['amber', 'guyer', 'ass', 'better', 'get', 'the', 'maximum', 'sentence', 'but', 'ik', 'her', 'white', 'ass', 'bout', 'to', 'skate', 'i', 'can', 'feel', 'it', 'in', 'my', 'spirit', '😒']		offensive
1179041169382264832_twitter	normal	<user> <user> <user> millions of yemeni children starve because of trump policies republicans i sleep a woman gets raped and does not want to carry his baby republicans real shit	[]	['<user>', '<user>', '<user>', 'millions', 'of', 'yemeni', 'children', 'starve', 'because', 'of', 'trump', 'policies', 'republicans', 'i', 'sleep', 'a', 'woman', 'gets', 'raped', 'and', 'does', 'not', 'want', 'to', 'carry', 'his', 'baby', 'republicans', 'real', 'shit']		hatespeech
1178708115035955201_twitter	normal	smh fuckin wit them white girls gon get u in jail bruh	[]	['smh', 'fuckin', 'wit', 'them', 'white', 'girls', 'gon', 'get', 'u', 'in', 'jail', 'bruh']		offensive
6152693_gab	normal	western women use vagina stereo speaker to blast unborn babies with feminist female empowerment musics of negress beyonce hag madonna breasticular katy perries slav expecting mothers enjoy cerebral classical music of tchaikovsky dvorák mussorgsky stravinsky free of vaginal intrusion	[]	['western', 'women', 'use', 'vagina', 'stereo', 'speaker', 'to', 'blast', 'unborn', 'babies', 'with', 'feminist', 'female', 'empowerment', 'musics', 'of', 'negress', 'beyonce', 'hag', 'madonna', 'breasticular', 'katy', 'perries', 'slav', 'expecting', 'mothers', 'enjoy', 'cerebral', 'classical', 'music', 'of', 'tchaikovsky', 'dvorák', 'mussorgsky', 'stravinsky', 'free', 'of', 'vaginal', 'intrusion']		hatespeech
16705606_gab	normal	in fact i can not find anything fuzzy or warm about my dutch ness we are a pretty dour people always having to stick our fingers in dykes while wearing wooden shoes does that to you	[]	['in', 'fact', 'i', 'can', 'not', 'find', 'anything', 'fuzzy', 'or', 'warm', 'about', 'my', 'dutch', 'ness', 'we', 'are', 'a', 'pretty', 'dour', 'people', 'always', 'having', 'to', 'stick', 'our', 'fingers', 'in', 'dykes', 'while', 'wearing', 'wooden', 'shoes', 'does', 'that', 'to', 'you']		normal
1179025510350897152_twitter	normal	<user> oh yeah that too before twitter and before <number> months ago i only knew one lesbian couple that it all my friends were cishet white suburban guys	[]	['<user>', 'oh', 'yeah', 'that', 'too', 'before', 'twitter', 'and', 'before', '<number>', 'months', 'ago', 'i', 'only', 'knew', 'one', 'lesbian', 'couple', 'that', 'it', 'all', 'my', 'friends', 'were', 'cishet', 'white', 'suburban', 'guys']		normal
1178757718791905280_twitter	normal	<user> same with arabs loll im arab but white af	[]	['<user>', 'same', 'with', 'arabs', 'loll', 'im', 'arab', 'but', 'white', 'af']		offensive
19112164_gab	hatespeech	fuck her she nothing but a kike that will play which ever side that will get her paid	[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['fuck', 'kike']		hatespeech
1177974580964708353_twitter	normal	crash on eb i <number> location eb i <number> at van dyke lanes blocked left shoulder left lane event type crash county macomb	[]	['crash', 'on', 'eb', 'i', '<number>', 'location', 'eb', 'i', '<number>', 'at', 'van', 'dyke', 'lanes', 'blocked', 'left', 'shoulder', 'left', 'lane', 'event', 'type', 'crash', 'county', 'macomb']		normal
1179088988445007875_twitter	normal	<user> <user> racist scum who is also a threat to innocent citizens are embraced by deblasio horrible my prayers to this woman white black green yellow people should not go unchecked with this random violence hate	[]	['<user>', '<user>', 'racist', 'scum', 'who', 'is', 'also', 'a', 'threat', 'to', 'innocent', 'citizens', 'are', 'embraced', 'by', 'deblasio', 'horrible', 'my', 'prayers', 'to', 'this', 'woman', 'white', 'black', 'green', 'yellow', 'people', 'should', 'not', 'go', 'unchecked', 'with', 'this', 'random', 'violence', 'hate']		hatespeech
13912847_gab	hatespeech	i am a nigger rabbi who sells bacon	[0, 0, 0, 1, 1, 0, 0, 1]	['nigger', 'rabbi', 'bacon']		hatespeech
1179096587571646464_twitter	normal	tomorrow precap lit sidharth shukla wow yaar i think he will kill all the task in season bb13 bigg boss 13	[]	['tomorrow', 'precap', 'lit', 'sidharth', 'shukla', 'wow', 'yaar', 'i', 'think', 'he', 'will', 'kill', 'all', 'the', 'task', 'in', 'season', 'bb13', 'bigg', 'boss', '13']		normal
1179039577777983488_twitter	normal	in recent years we have frequently seen poor people suffer immensely in avoidable tragedies from the grenfell tower block fire in london to the burning of makeshift refugee camps across europe	[]	['in', 'recent', 'years', 'we', 'have', 'frequently', 'seen', 'poor', 'people', 'suffer', 'immensely', 'in', 'avoidable', 'tragedies', 'from', 'the', 'grenfell', 'tower', 'block', 'fire', 'in', 'london', 'to', 'the', 'burning', 'of', 'makeshift', 'refugee', 'camps', 'across', 'europe']		normal
23169645_gab	hatespeech	idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring <number> <number> mildly retarded somali to canada to repopulate canada with the dumbest people on the face of the earth	[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['somali', 'moslem', 'retarded', 'somali']		hatespeech
10053426_gab	offensive	ventura only governor to refund overpaid taxes back to those who paid them burqa betsy just fired gay police chief who demanded open investigation against mudslime cop that murdered white christian woman appointed mudslime as new chief burqa betsy will lose gay vote and mayor position	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['mudslime', 'mudslime']		hatespeech
12585712_gab	offensive	the detroit lions revoked a season ticket holder tickets because he said nigger on twitter but they insist their players are allowed to express themselves freely so long as that expression is jew approved i gather the nfl hates you	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['nigger']		hatespeech
24728249_gab	hatespeech	kim kardashian is a negress by now anyway	[0, 0, 0, 0, 1, 0, 0, 0]	['negress']		hatespeech
